Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Kadiogo,4224499.0,1860891.8094999997,Kadiogo,2495,2987.73226943,1.3407542805597585,0.8350815183570637,622.84423157334,1.3407542805597585,2020,0.17399881780755463,0.8260011821924453
Bam,396862.0,174817.71099999998,Bam,123,3994.79393708,0.703586013741973,0.030790073765333444,43.76138387948571,0.703586013741973,2020,0.09053906808792404,0.909460931912076
Namentenga,480129.0,211496.8245,Namentenga,166,6386.31237127,0.784878049655778,0.025993091215954535,33.11720633200739,0.784878049655778,2020,0.10118713913115071,0.8988128608688493
Sandbondtenga,864315.0,380730.75749999995,Sandbondtenga,398,9359.34872214,1.0453554035349943,0.042524326405160164,40.67919347842683,1.0453554035349943,2020,0.1353058733722079,0.8646941266277921
Oudalan,315885.0,139147.34249999997,Oudalan,113,9710.95520399,0.8120829754044683,0.011636342422171918,14.328903756329515,0.8120829754044683,2020,0.10475058761465175,0.8952494123853483
Seno,387673.0,170769.95649999997,Seno,13,6873.94377353,0.07612535683138838,0.0018911996414722003,24.843083115924863,0.07612535683138838,2020,0.008350873678599689,0.9916491263214003
Yagha,244550.0,107724.275,Yagha,6,6307.09673676,0.055697235398099475,0.0009513093346150645,17.079851395356705,0.055697235398099475,2020,0.005675087719296599,0.9943249122807034
Boulgou,807031.0,355497.15549999994,Boulgou,331,6353.42767782,0.9310878126342348,0.05209786225402873,55.953600721867154,0.9310878126342348,2020,0.12033848558111157,0.8796615144188884
Koulpelogo,401974.0,177069.547,Koulpelogo,40,5304.53927328,0.22589866399407463,0.00754071144340241,33.38075898352452,0.22589866399407463,2020,0.027968992441651425,0.9720310075583486
Kourittenga,487632.0,214801.89599999998,Kourittenga,215,2834.3515859,1.000917604015916,0.07585509189105431,75.78519795094275,1.000917604015916,2020,0.129485169769883,0.870514830230117
