Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Kibiya,2024,0.49813893187236,3.0,1.00372213625528,2988.875
Kiru,2024,0.0,16.0,2.8890122737880817,5538.225
Kumbotso,2024,0.0,34.0,3.2668120718314326,10407.7
Kunchi,2024,1.0,0.0,0.0,1853.625
Kura,2024,0.796176266764502,1.0,0.40764746647099587,2453.1
Madobi,2024,1.0,0.0,0.0,3414.925
Makoda,2024,1.0,0.0,0.0,3484.25
Minjibir,2024,0.8750960199346752,1.0,0.24980796013064957,4003.075
Nasarawa,2024,0.0,23.0,3.351475013296613,6862.65
Rano,2024,0.21551399523032522,5.0,1.5689720095393496,3186.8
Rimin Gado,2024,1.0,0.0,0.0,2431.1749999999997
Rogo,2024,0.8677353649181282,1.0,0.2645292701637436,3780.3
Shanono,2024,1.0,0.0,0.0,1939.9
Sumaila,2024,0.0,20.0,3.9285012767629146,5091.0
Takai,2024,1.0,0.0,0.0,3295.325
Tarauni,2024,0.0,20.0,12.10763689196961,1651.85
Tofa,2024,1.0,0.0,0.0,1888.65
Tsanyawa,2024,1.0,0.0,0.0,3394.475
Tudun Wada,2024,0.0,19.0,3.8928842174278278,4880.7
Ungogo,2024,0.0,133.0,14.959031374600015,8890.95
Warawa,2024,1.0,0.0,0.0,1792.025
Wudil,2024,0.8789309603801568,1.0,0.24213807923968642,4129.875
Bakori,2024,1.0,0.0,0.0,3209.375
Batagarawa,2024,0.7506840606087049,2.0,0.49863187878259024,4010.975
Batsari,2024,1.0,0.0,0.0,3759.45
Baure,2024,1.0,0.0,0.0,3678.575
Bindawa,2024,1.0,0.0,0.0,2647.775
Charanchi,2024,1.0,0.0,0.0,2447.425
Dan Musa,2024,1.0,0.0,0.0,2197.15
Dandume,2024,1.0,0.0,0.0,2634.275
Danja,2024,1.0,0.0,0.0,2301.675
Daura,2024,1.0,0.0,0.0,3486.65
Dutsi,2024,1.0,0.0,0.0,2393.225
Dutsin-Ma,2024,0.8560415751930842,1.0,0.2879168496138315,3473.225
Faskari,2024,1.0,0.0,0.0,3404.7
Funtua,2024,1.0,0.0,0.0,3528.8500000000004
Ingawa,2024,1.0,0.0,0.0,3103.975
Jibia,2024,1.0,0.0,0.0,2579.725
Kafur,2024,1.0,0.0,0.0,3733.45
Kaita,2024,1.0,0.0,0.0,2539.0
Kankara,2024,1.0,0.0,0.0,4139.35
Kankia,2024,0.43604782314459734,3.0,1.1279043537108053,2659.8
Katsina,2024,0.0,12.0,2.204747556404792,5442.8
Kurfi,2024,1.0,0.0,0.0,2289.25
Kusada,2024,1.0,0.0,0.0,1874.875
Mai'adua,2024,1.0,0.0,0.0,3509.7999999999997
Malumfashi,2024,1.0,0.0,0.0,3666.275
Mani,2024,1.0,0.0,0.0,3007.8
Mashi,2024,1.0,0.0,0.0,3168.25
Matazu,2024,1.0,0.0,0.0,1808.15
Musawa,2024,1.0,0.0,0.0,2825.65
Rimi,2024,0.8177510479314745,1.0,0.3644979041370512,2743.5
Sabuwa,2024,1.0,0.0,0.0,2629.6
Safana,2024,1.0,0.0,0.0,3210.275
Sandamu,2024,0.8353299575974641,1.0,0.3293400848050718,3036.375
Zango,2024,1.0,0.0,0.0,1936.475
Aleiro,2024,0.0,4.0,4.158976891684646,961.775
Arewa-Dandi,2024,1.0,0.0,0.0,2737.225
Argungu,2024,1.0,0.0,0.0,3023.9
Augie,2024,1.0,0.0,0.0,1091.375
Bagudo,2024,0.8927654189923167,1.0,0.2144691620153667,4662.675
Birnin Kebbi,2024,0.8798452406699829,1.0,0.24030951866003414,4161.3
Bunza,2024,1.0,0.0,0.0,2279.375
Dandi,2024,1.0,0.0,0.0,2014.4
Fakai,2024,1.0,0.0,0.0,2225.075
Gwandu,2024,0.6016848729872639,2.0,0.7966302540254723,2510.575
Jega,2024,0.5099060244801941,4.0,0.9801879510396119,4080.85
Kalgo,2024,1.0,0.0,0.0,1340.225
Koko/Besse,2024,1.0,0.0,0.0,2464.15
Maiyama,2024,0.8272615777927484,1.0,0.3454768444145031,2894.55
Ngaski,2024,1.0,0.0,0.0,3286.65
Sakaba,2024,1.0,0.0,0.0,1692.625
Shanga,2024,1.0,0.0,0.0,3685.3
Suru,2024,1.0,0.0,0.0,3077.9
Wasagu/Danko,2024,1.0,0.0,0.0,5150.625
Yauri,2024,1.0,0.0,0.0,765.25
Zuru,2024,1.0,0.0,0.0,3188.375
Adavi,2024,0.7230281334173481,2.0,0.5539437331653038,3610.475
Ajaokuta,2024,0.0,11.0,4.069364161849711,2703.125
Ankpa,2024,0.5405573039902598,4.0,0.9188853920194803,4353.1
Bassa,2024,0.14791003634163702,10.0,1.704179927316726,5867.925
Dekina,2024,0.0,18.0,4.061715510676106,4431.625
Ibaji,2024,0.0,10.0,4.400343226771688,2272.55
Idah,2024,1.0,0.0,0.0,2084.9500000000003
Igalamela-Odolu,2024,0.6509994503241343,2.0,0.6980010993517315,2865.325
Ijumu,2024,0.818032936038577,1.0,0.36393412792284596,2747.75
Kabba/Bunu,2024,1.0,0.0,0.0,2215.2
Kogi,2024,1.0,0.0,0.0,2021.75
Lokoja,2024,0.0,14.0,4.083745961831561,3428.225
Mopa-Muro,2024,1.0,0.0,0.0,587.325
Ofu,2024,0.4173470353888844,4.0,1.1653059292222312,3432.575
Ogori/Magongo,2024,1.0,0.0,0.0,1282.3
Okehi,2024,0.574241617881852,2.0,0.851516764236296,2348.75
Okene,2024,1.0,0.0,0.0,5001.5
Olamabolo,2024,0.316473000683527,3.0,1.367053998632946,2194.5
Omala,2024,0.15767011553958243,3.0,1.6846597689208351,1780.775
Yagba East,2024,0.5613506014979877,2.0,0.8772987970040246,2279.725
Yagba West,2024,1.0,0.0,0.0,2462.9
Asa,2024,0.69246382605754,1.0,0.6150723478849199,1625.825
Baruten,2024,0.0,52.0,14.82621959912183,3507.3
Edu,2024,0.5807215781639798,3.0,0.8385568436720404,3577.575
Ekiti,2024,1.0,0.0,0.0,1094.825
Ifelodun,2024,0.10244270218600082,10.0,1.7951145956279984,5570.675
Ilorin East,2024,0.10311603116031165,7.0,1.7937679376793767,3902.4
Ilorin South,2024,0.0,36.0,5.897409644722023,6104.375
Ilorin West,2024,0.0,20.0,5.525243456039782,3619.75
Irepodun,2024,0.4345756961786741,3.0,1.1308486076426518,2652.875
Isin,2024,1.0,0.0,0.0,921.625
Kaiama,2024,1.0,0.0,0.0,2174.125
Moro,2024,0.7430692942113513,1.0,0.5138614115772976,1946.05
Offa,2024,1.0,0.0,0.0,1238.1
Oke-Ero,2024,1.0,0.0,0.0,937.975
Oyun,2024,0.4343811422672832,2.0,1.1312377154654336,1767.975
Pategi,2024,1.0,0.0,0.0,2158.6
Agege,2024,0.17966987571998605,14.0,1.640660248560028,8533.15
Ajeromi-Ifelodun,2024,1.0,11.0,0.0,0.0
Alimosho,2024,0.09227825191316263,49.0,1.8154434961736747,26990.65
Amuwo-Odofin,2024,0.5818156727122181,15.0,0.8363686545755639,17934.675
Apapa,2024,1.0,0.0,0.0,6501.875
Badagry,2024,0.6247161916199125,3.0,0.7505676167601749,3996.975
Epe,2024,0.652437858785502,3.0,0.695124282428996,4315.775
Eti-Osa,2024,0.0,56.0,6.607357764825259,8475.4
Ibeju/Lekki,2024,0.0,6.0,3.4489696203259275,1739.65
Ifako-Ijaye,2024,0.3097259612065991,8.0,1.3805480775868018,5794.8
Ikeja,2024,0.06775359691737182,18.0,1.8644928061652564,9654.1
Ikorodu,2024,0.0,75.0,6.622633512291608,11324.8
Kosofe,2024,0.0,51.0,3.9083155160125984,13049.1
Lagos Island,2024,1.0,2.0,0.0,0.0
Lagos Mainland,2024,0.0,30.0,6.635810149471624,4520.925
Mushin,2024,0.6058445372023633,10.0,0.7883109255952733,12685.35
Ojo,2024,0.03859095890937747,20.0,1.922818082181245,10401.4
Oshodi-Isolo,2024,0.0,36.0,3.038231074352266,11849.0
Shomolu,2024,1.0,12.0,0.0,0.0
Surulere,2024,0.25260281071169666,15.0,1.4947943785766067,10034.825
Akwanga,2024,1.0,0.0,0.0,1559.475
Awe,2024,0.0,8.0,3.7465900176792215,2135.275
Doma,2024,0.0,20.0,8.347071221385196,2396.05
Karu,2024,0.0,31.0,8.164286513783818,3797.025
Keana,2024,1.0,0.0,0.0,1457.8
Keffi,2024,0.6756143054091315,1.0,0.6487713891817372,1541.375
Kokona,2024,0.0,16.0,7.499326232408807,2133.525
Lafia,2024,0.0,25.0,4.591178509611631,5445.225
Nasarawa,2024,0.0,23.0,3.351475013296613,6862.65
Nasarawa-Eggon,2024,1.0,0.0,0.0,3039.25
Obi,2024,1.0,0.0,0.0,4924.875
Toto,2024,0.7918726260471409,1.0,0.41625474790571826,2402.375
Wamba,2024,1.0,0.0,0.0,1293.725
Agaie,2024,1.0,0.0,0.0,2206.15
Agwara,2024,0.5194848877997212,1.0,0.9610302244005575,1040.55
Bida,2024,0.7632547733756317,1.0,0.47349045324873645,2111.975
Borgu,2024,0.4756539578294696,4.0,1.0486920843410608,3814.275
Bosso,2024,0.2924236259751287,4.0,1.4151527480497426,2826.55
Chanchaga,2024,0.16575711018262962,6.0,1.6684857796347408,3596.075
Edati,2024,1.0,0.0,0.0,3060.3
Gbako,2024,1.0,0.0,0.0,2107.0
Gurara,2024,1.0,0.0,0.0,3264.8
Katcha,2024,0.7905978431577845,1.0,0.41880431368443094,2387.75
Kontagora,2024,1.0,0.0,0.0,2604.725
Lapai,2024,0.8103258601722241,1.0,0.3793482796555518,2636.1
Lavun,2024,1.0,0.0,0.0,1397.85
Magama,2024,0.48507357011367,4.0,1.02985285977266,3884.05
Mariga,2024,0.7355564223428379,2.0,0.5288871553143242,3781.525
Mashegu,2024,1.0,0.0,0.0,4291.475
Mokwa,2024,1.0,0.0,0.0,8585.95
Muya,2024,1.0,0.0,0.0,1912.35
Paikoro,2024,1.0,0.0,0.0,2890.075
Rafi,2024,1.0,0.0,0.0,3554.9
Rijau,2024,1.0,0.0,0.0,3336.875
Shiroro,2024,1.0,0.0,0.0,4740.975
Suleja,2024,0.8541189514070227,1.0,0.2917620971859546,3427.45
Tafa,2024,0.0,4.0,2.0397236174498357,1961.05
Wushishi,2024,1.0,0.0,0.0,1520.825
Abeokuta North,2024,1.0,0.0,0.0,4916.85
Abeokuta South,2024,0.0,8.0,2.886367326321866,2771.65
Ado-Odo/Ota,2024,0.0,160.0,10.383761095616594,15408.675
Egbado North,2024,1.0,0.0,0.0,3027.075
Egbado South,2024,0.6893228013763,2.0,0.6213543972474,3218.775
Ewekoro,2024,1.0,0.0,0.0,1308.85
Ifo,2024,0.0,117.0,8.36184639574046,13992.125
Ijebu East,2024,0.0,24.0,11.64073773175375,2061.725
Ijebu North,2024,0.9010194991586657,1.0,0.19796100168266853,5051.5
Ijebu North East,2024,1.0,0.0,0.0,2155.175
Ijebu Ode,2024,0.0,44.0,36.56535017555523,1203.325
Ikenne,2024,0.0,6.0,2.9204896687677966,2054.4500000000003
Imeko-Afon,2024,1.0,0.0,0.0,1988.35
Ipokia,2024,0.0,7.0,2.2986241092831574,3045.3
Obafemi-Owode,2024,0.5751167101286865,4.0,0.8497665797426269,4707.175
Odeda,2024,0.13011708624019203,5.0,1.739765827519616,2873.95
Odogbolu,2024,0.14821124361158433,5.0,1.7035775127768313,2935.0
Ogun waterside,2024,1.0,0.0,0.0,1594.175
Remo North,2024,1.0,0.0,0.0,1086.1
Shagamu,2024,0.0,67.0,15.151686473162293,4421.95
Akoko North East,2024,0.4106495624073001,3.0,1.1787008751853998,2545.175
Akoko North West,2024,1.0,0.0,0.0,4050.35
Akoko South East,2024,1.0,0.0,0.0,1060.75
Akoko South West,2024,0.8745145280805114,1.0,0.25097094383897706,3984.525
Akure North,2024,0.5485938699047533,2.0,0.9028122601904933,2215.3
Akure South,2024,0.0,42.0,6.911304920190884,6077.0
Ese-Odo,2024,1.0,0.0,0.0,2995.65
Idanre,2024,0.0,8.0,3.0492743679902428,2623.575
Ifedore,2024,1.0,0.0,0.0,3710.5
Ilaje,2024,1.0,0.0,0.0,4120.45
Ile-Oluji-Okeigbo,2024,0.0,15.0,4.786597526924611,3133.75
Irele,2024,0.0,8.0,3.097053927451512,2583.1
Odigbo,2024,0.0,23.0,5.287508261731659,4349.875
Okitipupa,2024,1.0,0.0,0.0,4265.15
Ondo East,2024,1.0,0.0,0.0,2118.25
Ondo West,2024,0.0,11.0,2.036499627413136,5401.425
Ose,2024,1.0,0.0,0.0,2273.55
Owo,2024,1.0,0.0,0.0,4454.05
Aiyedade,2024,1.0,0.0,0.0,2127.375
Aiyedire,2024,1.0,0.0,0.0,1700.025
Atakumosa East,2024,1.0,0.0,0.0,965.8
Atakumosa West,2024,1.0,0.0,0.0,1539.625
Boluwaduro,2024,0.5515493968339388,1.0,0.8969012063321224,1114.95
Boripe,2024,0.8202683393693216,1.0,0.35946332126135677,2781.925
Ede North,2024,0.0,5.0,2.594302910807866,1927.3
Ede South,2024,0.6163216759069197,1.0,0.7673566481861608,1303.175
Egbedore,2024,0.0,11.0,4.051751922280031,2714.875
Ejigbo,2024,0.0,20.0,9.615500186300315,2079.975
Ife Central,2024,0.0,8.0,10.366051182377712,771.75
Ife East,2024,1.0,0.0,0.0,4741.625
Ife North,2024,0.7417655489418844,1.0,0.5164689021162313,1936.225
Ife South,2024,0.8933105729222234,1.0,0.2133788541555532,4686.5
Ifedayo,2024,1.0,0.0,0.0,629.225
Ifelodun,2024,0.10244270218600082,10.0,1.7951145956279984,5570.675
Ila,2024,1.0,0.0,0.0,1064.225
Ilesha East,2024,1.0,0.0,0.0,2134.775
Ilesha West,2024,1.0,0.0,0.0,1199.6
